uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
0.0,33.4,120.791,34.4,0,14.502,360,5.0,0,50.7,35.6,4.34429,2356.2,2365.65,2382.45,0,72,73,77,10,129.0,84.8684,6001,291,-64,298,98,40.7,41.0,41.2,41.3,40.6,40.2,4.16767e-08,34.5,36.0,54.6,41.0,36.9,43.1,41.2,35.6,404.7,404.598,9.3,0,0,0,7,7,7
0.0,34.0,113.643,34.4,0,14.4775,363,4.0,0,51.2,36.0,4.34916,2362.5,2364.6,2382.45,0,67,69,72,10,129.0,84.8684,5998,301,-58,307,98,40.9,41.2,41.4,41.5,40.8,40.3,2.71536e+23,34.8,36.3,57.2,41.7,36.9,43.5,41.6,36.1,404.581,404.456,9.3,0,0,0,7,7,7
0.0,34.6,129.824,34.4,0,14.5508,356,4.0,0,51.6,36.2,4.35377,2355.15,2370.9,2381.4,0,65,68,70,10,130.0,85.5263,6001,280,-63,287,98,41.0,41.4,41.6,41.7,40.9,40.4,4.16767e-08,35.0,36.6,59.7,43.5,37.0,43.8,42.0,36.4,404.45,404.334,9.3,0,0,0,7,7,7
0.0,35.0,119.639,34.4,0,14.6729,363,5.0,0,52.0,36.4,4.3583,2364.6,2365.65,2384.55,0,68,70,73,10,130.0,85.5263,5999,277,-50,282,99,41.2,41.6,41.8,41.8,41.0,40.6,2.71536e+23,35.3,36.9,61.1,44.0,37.1,44.0,42.3,36.8,404.319,404.197,9.3,0,0,0,7,7,7
0.0,35.4,113.027,34.4,0,14.6851,358,4.0,0,52.3,36.7,4.3629,2357.25,2371.95,2384.55,0,69,72,73,10,130.0,85.5263,6000,275,-49,279,98,41.4,41.8,41.9,41.9,41.2,40.8,4.16767e-08,35.5,37.1,62.6,44.8,37.1,44.3,42.6,37.1,404.181,404.077,9.3,0,0,0,7,7,7
0.0,35.8,128.223,34.4,0,14.8071,356,4.0,0,52.7,36.9,4.36743,2358.3,2365.65,2386.65,0,71,73,73,10,123.0,80.9211,5999,281,-58,287,98,41.6,42.0,42.1,42.1,41.3,40.9,0.0,35.7,37.3,65.0,46.0,37.1,44.6,42.8,37.5,404.044,403.926,9.3,0,0,0,7,7,7
0.0,36.1,118.789,34.4,0,14.8438,363,5.0,0,53.0,37.1,4.37217,2358.3,2366.7,2386.65,0,71,73,76,10,125.0,84.2105,6001,276,-58,282,98,41.7,42.2,42.3,42.2,41.5,41.0,-107479000.0,35.9,37.5,65.8,46.4,37.2,44.8,43.1,37.8,403.9,403.773,9.4,0,0,0,7,7,7
0.0,36.3,112.188,34.4,0,14.9048,355,4.0,0,53.3,37.2,4.37668,2359.35,2367.75,2386.65,0,72,74,76,10,131.0,86.1842,5998,282,-64,289,98,41.9,42.3,42.4,42.3,41.6,41.2,4.16767e-08,36.0,37.6,67.0,46.8,37.2,45.0,43.3,38.0,403.75,403.63,9.4,0,0,0,7,7,7
0.0,36.6,125.088,34.4,0,15.1978,361,5.0,0,53.6,37.4,4.38127,2359.35,2368.8,2385.6,0,72,74,77,10,131.0,86.1842,6001,287,-39,290,99,42.0,42.5,42.6,42.4,41.8,41.3,-1.5923200000000002e-23,36.2,37.8,68.3,47.8,37.3,45.1,43.5,38.2,403.587,403.458,9.4,0,0,0,7,8,8
0.0,36.8,116.582,34.4,0,15.2466,360,4.0,0,53.8,37.6,4.38585,2359.35,2374.05,2385.6,0,70,73,75,10,132.0,86.8421,6000,270,-49,274,98,42.2,42.6,42.7,42.6,42.0,41.5,2.71536e+23,36.3,37.9,68.7,48.9,37.3,45.3,43.7,38.4,403.419,403.303,9.4,0,0,0,7,7,7
0.0,37.0,110.508,34.4,0,15.3442,356,5.0,0,54.1,37.7,4.39061,2356.2,2364.6,2382.45,0,69,72,73,10,132.0,84.2105,5999,293,-33,295,99,42.4,42.8,42.9,42.8,42.1,41.6,-107479000.0,36.4,38.0,69.6,49.3,37.4,45.5,43.9,38.6,403.237,403.138,9.4,0,0,0,7,7,7
0.0,37.2,122.646,34.4,0,15.4785,363,5.0,0,54.3,37.8,4.3952,2356.2,2369.85,2381.4,0,68,72,72,10,133.0,87.5,6001,282,-47,286,99,42.5,42.9,43.0,42.9,42.2,41.7,-1.5923200000000002e-23,36.5,38.2,71.1,49.0,37.4,45.7,44.1,38.8,403.062,402.948,9.4,0,0,0,7,7,7
0.0,37.4,101.748,34.4,0,-0.0244141,104,26.0,0,54.4,38.0,4.39827,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,42.6,43.0,43.2,42.9,42.3,41.9,-1.5923200000000002e-23,36.6,38.1,72.2,49.9,37.4,45.8,44.3,39.0,403.081,402.989,9.5,0,0,0,0,0,0
0.0,37.6,121.602,35.3,0,-0.0366211,30,99.0,0,52.7,37.8,4.39827,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,42.5,43.0,43.2,43.0,42.4,42.1,-107479000.0,36.2,37.6,70.0,50.0,37.5,45.1,43.1,40.0,402.931,402.854,9.5,0,0,0,0,0,0
