,uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
temp_casq_rad_comb,,0.93,0.44,0.33,-0.3,0.66,0.83,-0.71,,0.38,0.8,-0.17,0.82,0.82,0.82,,0.65,0.65,0.65,-0.15,0.83,0.83,0.04,0.65,-0.55,0.65,0.0,0.83,0.83,0.82,0.82,0.81,0.82,0.04,0.12,0.59,0.33,0.22,0.77,1.0,0.99,0.95,0.25,0.27,-0.14,,,,0.64,0.65,0.64
temp_mancal_casq_guia,,0.95,0.38,0.32,-0.28,0.69,0.86,-0.75,,0.38,0.82,-0.18,0.85,0.85,0.85,,0.68,0.68,0.69,-0.16,0.87,0.87,0.04,0.68,-0.59,0.68,0.0,0.82,0.82,0.82,0.81,0.8,0.8,0.04,0.12,0.59,0.32,0.21,0.74,0.99,1.0,0.96,0.27,0.26,-0.15,,,,0.68,0.68,0.68
temp_mancal_cont_esc,,0.99,0.32,0.35,-0.23,0.69,0.75,-0.64,,0.36,0.88,-0.19,0.75,0.75,0.75,,0.7,0.7,0.7,-0.18,0.79,0.79,0.04,0.7,-0.62,0.7,0.01,0.88,0.88,0.87,0.87,0.86,0.86,0.04,0.13,0.64,0.36,0.27,0.75,0.95,0.96,1.0,0.28,0.24,-0.16,,,,0.7,0.7,0.7
nivel_montante,,0.26,-0.03,0.0,0.03,0.22,0.33,-0.3,,0.12,0.32,-0.14,0.33,0.34,0.34,,0.41,0.41,0.41,-0.12,0.36,0.36,0.0,0.41,-0.37,0.41,-0.01,0.33,0.33,0.33,0.3,0.29,0.3,-0.01,-0.0,0.09,-0.04,-0.08,0.26,0.25,0.27,0.28,1.0,0.71,-0.13,,,,0.41,0.41,0.41
nivel_jusante,,0.23,0.2,0.15,-0.58,0.02,0.23,-0.25,,0.11,0.19,0.06,0.21,0.21,0.21,,0.17,0.17,0.17,0.07,0.21,0.21,-0.0,0.17,-0.15,0.17,-0.01,0.25,0.25,0.25,0.26,0.26,0.26,0.01,0.02,0.15,0.06,0.05,0.26,0.27,0.26,0.24,0.71,1.0,0.08,,,,0.17,0.17,0.17
horimetro_eletrico,,-0.09,-0.01,0.61,-0.07,-0.38,-0.24,0.11,,-0.05,-0.36,0.99,-0.25,-0.25,-0.25,,-0.4,-0.4,-0.4,0.98,-0.27,-0.27,-0.01,-0.4,0.44,-0.4,0.02,-0.17,-0.18,-0.18,-0.11,-0.1,-0.11,-0.17,0.08,0.04,-0.07,0.12,0.1,-0.14,-0.15,-0.16,-0.13,0.08,1.0,,,,-0.4,-0.4,-0.4
tensaoL_fase_AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensaoL_fase_BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensaoL_fase_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
correnteL_fase_A,,0.65,0.21,-0.03,-0.11,0.94,0.7,-0.51,,0.26,0.84,-0.4,0.71,0.71,0.71,,1.0,1.0,1.0,-0.38,0.79,0.79,0.03,1.0,-0.93,1.0,0.0,0.74,0.76,0.75,0.65,0.64,0.65,0.01,0.03,0.25,0.02,-0.11,0.53,0.64,0.68,0.7,0.41,0.17,-0.4,,,,1.0,1.0,1.0
correnteL_fase_B,,0.65,0.21,-0.03,-0.12,0.94,0.7,-0.52,,0.26,0.84,-0.4,0.72,0.72,0.72,,1.0,1.0,1.0,-0.38,0.79,0.79,0.03,1.0,-0.93,1.0,0.0,0.74,0.76,0.76,0.65,0.64,0.65,0.01,0.03,0.25,0.02,-0.11,0.53,0.65,0.68,0.7,0.41,0.17,-0.4,,,,1.0,1.0,1.0
correnteL_fase_C,,0.65,0.21,-0.03,-0.11,0.94,0.69,-0.51,,0.26,0.83,-0.4,0.71,0.71,0.71,,1.0,1.0,1.0,-0.38,0.79,0.79,0.03,1.0,-0.93,1.0,0.0,0.74,0.76,0.75,0.65,0.63,0.65,0.01,0.03,0.25,0.02,-0.11,0.53,0.64,0.68,0.7,0.41,0.17,-0.4,,,,1.0,1.0,1.0
